Team,SRS,SOS,Pace,OFF,FTR,EFG,TOV,ORB,DEF,Opp FTR,Opp EFG,Opp TOV,Opp ORB
Georgia Tech,1.94,5.78,68.6,98.4,.247,.502,16.7,25.7,101.5,.319,.497,16.5,27.9
Georgia,-0.38,8.31,69.8,100.0,.390,.502,18.4,25.6,112.4,.241,.546,13.7,30.1
Gonzaga,26.77,4.29,73.8,119.0,.298,.594,14.2,29.0,88.5,.222,.432,15.0,23.0
Grambling,-12.09,-4.83,70.5,92.8,.330,.451,17.6,27.9,100.8,.391,.484,16.9,31.1
Grand Canyon,6.11,-2.27,67.7,105.0,.310,.500,16.2,34.7,90.4,.317,.432,16.7,27.1
Green Bay,-13.62,-5.17,64.9,95.1,.316,.468,17.4,27.3,106.2,.311,.528,16.1,27.9
Hampton,-13.48,-5.94,69.2,92.7,.361,.451,16.0,23.1,99.5,.364,.465,14.7,31.2
Hartford,-9.97,-7.62,67.1,103.7,.276,.533,16.2,23.8,107.2,.289,.516,14.4,28.4
Harvard,-4.67,-4.19,69.7,101.1,.263,.503,15.4,25.4,97.8,.307,.515,19.3,23.1
Hawaii,-0.17,-2.71,66.2,104.0,.325,.516,17.3,29.1,96.9,.307,.466,14.2,24.1
High Point,-6.52,-3.38,67.7,100.0,.343,.499,16.7,28.3,100.3,.343,.486,15.5,29.7
Hofstra,1.55,-0.85,70.5,109.7,.209,.539,13.0,23.7,102.6,.245,.530,18.3,26.8
Holy Cross,-16.84,-7.88,67.9,96.1,.281,.464,16.0,27.6,104.1,.301,.522,16.0,27.7
